year,date,event_name,tour,field_size,field_strength_mean,field_strength_q25,field_strength_q75,field_strength_q10,field_strength_q90
2020,"2020-08-09","WinCo Foods Portland Open presented by KraftHeinz","KFT",156,-1.02,-1.34,-0.67,-1.8,-0.25
2020,"2020-08-09","English Championship","EURO",132,-1.1,-1.46,-0.65,-1.96,-0.23
2020,"2020-08-09","PGA Championship","PGA",156,-0.06,-0.21,0.76,-2.91,1.24
2020,"2020-08-02","Pinnacle Bank Championship presented by Aetna","KFT",155,-1.39,-1.8,-0.93,-2.34,-0.51
2020,"2020-08-02","Hero Open","EURO",132,-1.04,-1.46,-0.58,-1.9,-0.23
2020,"2020-08-02","Barracuda Championship","PGA",130,-0.9,-1.42,-0.01,-2.77,0.34
2020,"2020-08-02","World Golf Championships-FedEx St. Jude Invitational","PGA",78,0.72,0.29,1.12,-0.03,1.51
2020,"2020-07-26","Price Cutter Charity Championship presented by Dr Pepper","KFT",156,-1.54,-2.03,-0.99,-2.5,-0.55
2020,"2020-07-26","3M Open","PGA",155,-0.48,-0.96,0.22,-1.97,0.6
2020,"2020-07-25","Betfred British Masters hosted by Lee Westwood","EURO",131,-1.1,-1.49,-0.58,-1.9,-0.26
2020,"2020-07-19","the Memorial Tournament presented by Nationwide","PGA",130,0.38,0.05,0.76,-0.5,1.36
2020,"2020-07-18","TPC San Antonio Championship at the Oaks","KFT",156,-1.09,-1.39,-0.63,-1.83,-0.32
2020,"2020-07-18","Euram Bank Open","EURO",144,-2.17,-2.62,-1.51,-3.46,-1.16
2020,"2020-07-12","TPC San Antonio Challenge at the Canyons","KFT",155,-1.23,-1.54,-0.78,-2.07,-0.44
2020,"2020-07-12","Austrian Open","EURO",144,-1.96,-2.42,-1.32,-3,-0.73
2020,"2020-07-12","Workday Charity Open","PGA",157,0.01,-0.4,0.47,-0.81,0.96
2020,"2020-07-05","Rocket Mortgage Classic","PGA",156,-0.25,-0.71,0.31,-1.32,0.74
2020,"2020-07-04","TPC Colorado Championship at Heron Lakes","KFT",155,-1.26,-1.57,-0.74,-2.16,-0.52
2020,"2020-06-28","Utah Championship presented by Zions Bank","KFT",155,-1.17,-1.58,-0.71,-1.86,-0.47
2020,"2020-06-28","Travelers Championship","PGA",156,0.05,-0.47,0.53,-0.89,1.15
2020,"2020-06-21","RBC Heritage","PGA",151,0.15,-0.21,0.68,-0.97,1.09
2020,"2020-06-20","The King & Bear Classic at World Golf Village","KFT",156,-1.03,-1.47,-0.56,-1.87,-0.29
2020,"2020-06-14","Korn Ferry Challenge at TPC Sawgrass","KFT",155,-1.05,-1.42,-0.58,-1.77,-0.31
2020,"2020-06-14","Charles Schwab Challenge","PGA",148,0.18,-0.05,0.61,-0.58,1.15
2020,"2020-03-15","THE PLAYERS Championship","PGA",143,0.47,0.14,0.78,-0.31,1.32
2020,"2020-03-08","Commercial Bank Qatar Masters","EURO",142,-1.04,-1.44,-0.4,-1.84,-0.03
2020,"2020-03-08","Arnold Palmer Invitational presented by Mastercard","PGA",121,0.2,-0.1,0.63,-0.56,1.07
2020,"2020-03-01","The Honda Classic","PGA",144,-0.08,-0.43,0.36,-0.85,0.77
2020,"2020-03-01","Oman Open","EURO",146,-0.91,-1.29,-0.43,-1.64,-0.05
2020,"2020-03-01","El Bosque Mexico Championship by INNOVA","KFT",144,-1.42,-1.8,-0.89,-2.62,-0.47
